round,accuracy,epsilon,attack_accuracy,status,noise
1,0.949999988079071,2.9859584463931492,0.8022222222222222,Elevated Risk - Increasing Privacy,1.3
2,0.949999988079071,2.1846468107496593,0.8022222222222222,Elevated Risk - Increasing Privacy,1.5
3,0.949999988079071,1.7028457319497718,0.8022222222222222,Elevated Risk - Increasing Privacy,1.7
4,0.949999988079071,1.3891104940278078,0.8022222222222222,Elevated Risk - Increasing Privacy,1.9
5,0.949999988079071,1.1711043272709085,0.8022222222222222,Elevated Risk - Increasing Privacy,2.1
